,GAME_DATE,MATCHUP,PTS,AST,MIN,REB
0,"APR 02, 2023",PHX @ OKC,22,10,37,5
1,"MAR 31, 2023",PHX vs. DEN,27,6,35,2
2,"MAR 29, 2023",PHX vs. MIN,29,5,36,3
3,"MAR 27, 2023",PHX @ UTA,24,5,34,7
4,"MAR 25, 2023",PHX vs. PHI,29,5,32,3
5,"MAR 24, 2023",PHX @ SAC,32,5,33,8
6,"MAR 22, 2023",PHX @ LAL,33,5,41,6
7,"MAR 19, 2023",PHX @ OKC,46,1,36,3
8,"MAR 16, 2023",PHX vs. ORL,19,2,36,5
9,"MAR 14, 2023",PHX vs. MIL,30,3,43,4
10,"MAR 13, 2023",PHX @ GSW,32,1,35,4
11,"MAR 11, 2023",PHX vs. SAC,28,8,39,3
12,"MAR 08, 2023",PHX vs. OKC,44,4,28,3
13,"MAR 05, 2023",PHX @ DAL,36,10,40,5
14,"MAR 03, 2023",PHX @ CHI,35,6,36,5
15,"MAR 01, 2023",PHX @ CHA,37,7,33,6
16,"FEB 26, 2023",PHX @ MIL,24,8,38,4
17,"FEB 24, 2023",PHX vs. OKC,25,8,36,6
18,"FEB 16, 2023",PHX vs. LAC,19,9,35,3
19,"FEB 14, 2023",PHX vs. SAC,32,2,29,5
20,"FEB 10, 2023",PHX @ IND,21,5,26,4
21,"FEB 07, 2023",PHX @ BKN,19,6,26,4
22,"DEC 25, 2022",PHX @ DEN,2,0,4,0
23,"DEC 17, 2022",PHX vs. NOP,58,5,42,6
24,"DEC 15, 2022",PHX @ LAC,14,4,35,4
25,"DEC 09, 2022",PHX @ NOP,14,7,36,2
26,"DEC 07, 2022",PHX vs. BOS,17,3,25,5
27,"DEC 05, 2022",PHX @ DAL,11,5,30,2
28,"DEC 04, 2022",PHX @ SAS,20,8,28,0
29,"DEC 02, 2022",PHX vs. HOU,41,8,34,4
30,"NOV 30, 2022",PHX vs. CHI,51,6,31,4
31,"NOV 28, 2022",PHX @ SAC,44,4,41,8
32,"NOV 26, 2022",PHX vs. UTA,27,7,39,11
33,"NOV 25, 2022",PHX vs. DET,21,5,36,7
34,"NOV 22, 2022",PHX vs. LAL,25,5,35,4
35,"NOV 20, 2022",PHX vs. NYK,20,3,30,5
36,"NOV 18, 2022",PHX @ UTA,49,10,41,8
37,"NOV 16, 2022",PHX vs. GSW,27,9,37,2
38,"NOV 14, 2022",PHX @ MIA,25,5,42,8
39,"NOV 11, 2022",PHX @ ORL,17,6,34,8
40,"NOV 09, 2022",PHX @ MIN,32,10,38,4
41,"NOV 07, 2022",PHX @ PHI,28,5,43,7
42,"NOV 05, 2022",PHX vs. POR,24,3,29,3
43,"NOV 04, 2022",PHX vs. POR,25,5,38,5
44,"NOV 01, 2022",PHX vs. MIN,18,5,30,7
45,"OCT 30, 2022",PHX vs. HOU,30,6,35,3
46,"OCT 28, 2022",PHX vs. NOP,16,4,33,5
47,"OCT 25, 2022",PHX vs. GSW,34,7,35,2
48,"OCT 23, 2022",PHX @ LAC,35,4,35,1
49,"OCT 21, 2022",PHX @ POR,33,3,44,5
50,"OCT 19, 2022",PHX vs. DAL,28,9,41,4
